motif,good_count,good_support,bad_count,bad_support,manual_count,manual_support,good_minus_bad,bad_minus_good,shared_strength,manual_alignment,group
capacity:Sb1_CC3_C0,19,0.03505535055350553,257,0.06491538267239202,0,0.0,-0.029860032118886493,0.029860032118886493,0.03505535055350553,0.0,bad_enriched
role:maxD1_B0_portb1,5,0.00922509225092251,153,0.03864612275827229,1,0.0078125,-0.02942103050734978,0.02942103050734978,0.00922509225092251,0.0078125,bad_enriched
capacity:Sb1_CC2_C1,23,0.042435424354243544,280,0.07072493053801465,0,0.0,-0.02828950618377111,0.02828950618377111,0.042435424354243544,0.0,bad_enriched
orient:axisb1_diagb2_curveb0,25,0.046125461254612546,283,0.07148269765092195,4,0.03125,-0.025357236396309407,0.025357236396309407,0.046125461254612546,0.03125,bad_enriched
proxy:axis_skeleton_with_curve_residual,15,0.027675276752767528,206,0.05203334175296792,47,0.3671875,-0.024358065000200393,0.024358065000200393,0.027675276752767528,0.3671875,bad_enriched
relhist:E3_T0_X0_C1,0,0.0,90,0.022733013387218996,0,0.0,-0.022733013387218996,0.022733013387218996,0.0,0.0,bad_enriched
relhist:E4_T0_X0_C2,6,0.01107011070110701,115,0.02904773932811316,0,0.0,-0.01797762862700615,0.01797762862700615,0.01107011070110701,0.0,bad_enriched
role:maxD2_B0_portb4,0,0.0,71,0.01793382167213943,0,0.0,-0.01793382167213943,0.01793382167213943,0.0,0.0,bad_enriched
role:maxD3_B2_portb4,21,0.03874538745387454,222,0.056074766355140186,0,0.0,-0.017329378901265645,0.017329378901265645,0.03874538745387454,0.0,bad_enriched
capacity:Sb1_CC2_C0,47,0.08671586715867159,411,0.10381409446830007,0,0.0,-0.017098227309628483,0.017098227309628483,0.08671586715867159,0.0,bad_enriched
field:spineb0_enclb3_interb0,9,0.016605166051660517,132,0.03334175296792119,1,0.0078125,-0.016736586916260673,0.016736586916260673,0.016605166051660517,0.0078125,bad_enriched
capacity:Sb0_CC1_C1,19,0.03505535055350553,205,0.051780752715332154,11,0.0859375,-0.016725402161826622,0.016725402161826622,0.03505535055350553,0.0859375,bad_enriched
role:maxD0_B0_portb0,0,0.0,55,0.013892397069967163,2,0.015625,-0.013892397069967163,0.013892397069967163,0.0,0.015625,bad_enriched
relhist:E0_T0_X0_C0,0,0.0,55,0.013892397069967163,2,0.015625,-0.013892397069967163,0.013892397069967163,0.0,0.015625,bad_enriched
orient:axisb0_diagb3_curveb3,225,0.4151291512915129,1343,0.33922707754483455,9,0.0703125,0.07590207374667834,-0.07590207374667834,0.33922707754483455,0.0703125,shared
proxy:multi_component_or_floating,145,0.26752767527675275,2007,0.5069461985349836,4,0.03125,-0.23941852325823082,0.23941852325823082,0.26752767527675275,0.03125,shared
proxy:orbit_or_seal_field,229,0.4225092250922509,1001,0.2528416266734024,6,0.046875,0.16966759841884854,-0.16966759841884854,0.2528416266734024,0.046875,shared
relhist:E4_T0_X0_C1,84,0.15498154981549817,798,0.20156605203334174,6,0.046875,-0.046584502217843576,0.046584502217843576,0.15498154981549817,0.046875,shared
orient:axisb1_diagb2_curveb3,109,0.2011070110701107,543,0.13715584743622128,5,0.0390625,0.06395116363388942,-0.06395116363388942,0.13715584743622128,0.0390625,shared
proxy:nested_or_multi_cycle,114,0.21033210332103322,541,0.13665066936094974,3,0.0234375,0.07368143396008348,-0.07368143396008348,0.13665066936094974,0.0234375,shared
role:maxD5_B4_portb4,106,0.19557195571955718,504,0.12730487496842638,0,0.0,0.0682670807511308,-0.0682670807511308,0.12730487496842638,0.0,shared
proxy:vertical_spine_branching,98,0.18081180811808117,495,0.12503157362970446,9,0.0703125,0.05578023448837671,-0.05578023448837671,0.12503157362970446,0.0703125,shared
capacity:Sb1_CC1_C1,108,0.1992619926199262,426,0.10760293003283658,5,0.0390625,0.09165906258708961,-0.09165906258708961,0.10760293003283658,0.0390625,shared
role:maxD4_B4_portb4,86,0.15867158671586715,402,0.10154079312957817,1,0.0078125,0.057130793586288975,-0.057130793586288975,0.10154079312957817,0.0078125,shared
